	Predicted	Real
Arron Afflalo	SG	SF
Tony Allen	SF	SG
Al-Farouq Aminu	PF	SF
Alan Anderson	SG	SF
Carmelo Anthony	SF	PF
Andrea Bargnani	SF	PF
Will Barton	SF	SG
Andray Blatche	PF	C
Chris Bosh	PF	C
Avery Bradley	SG	PG
Corey Brewer	SG	SF
Ronnie Brewer	SG	SF
Ronnie Brewer	SG	SF
Wilson Chandler	SF	PF
Nick Collison	PF	C
Chris Copeland	SF	PF
Dante Cunningham	SF	PF
Marquis Daniels	SG	SF
Ed Davis	C	PF
Austin Daye	PF	SF
Carlos Delfino	SG	SF
Jared Dudley	SG	SF
Mike Dunleavy	SG	SF
Monta Ellis	PG	SG
Reggie Evans	C	PF
Derrick Favors	C	PF
Jimmer Fredette	PG	SG
Kevin Garnett	PF	C
Pau Gasol	C	PF
Manu Ginobili	PG	SG
Danny Green	SF	SG
Draymond Green	PF	SF
Jeff Green	SF	PF
Devin Harris	PG	SG
Tobias Harris	SF	PF
Chuck Hayes	PF	C
Gordon Hayward	SG	SF
John Henson	C	PF
Al Horford	PF	C
Kris Humphries	C	PF
Serge Ibaka	C	PF
Jarrett Jack	PG	SG
Reggie Jackson	SG	PG
Stephen Jackson	SG	SF
LeBron James	SF	PF
Jonas Jerebko	SF	PF
James Johnson	PF	SF
Orlando Johnson	SF	SG
Dahntay Jones	SG	SF
Dahntay Jones	SG	SF
Enes Kanter	PF	C
Michael Kidd-Gilchrist	PF	SF
Rashard Lewis	SF	PF
Eric Maynor	PG	SG
C.J. Miles	SG	SF
Patty Mills	SG	PG
Nazr Mohammed	PF	C
Greg Monroe	PF	C
Marcus Morris	SF	PF
Markieff Morris	SF	PF
Sasha Pavlovic	SF	SG
Quincy Pondexter	SG	SF
J.J. Redick	PG	SG
Jason Richardson	SF	SG
Luke Ridnour	PG	SG
Terrence Ross	SF	SG
John Salmons	SG	SF
Thabo Sefolosha	SF	SG
Ramon Sessions	PG	SG
Alexey Shved	PG	SG
Greg Smith	PF	C
Jerry Stackhouse	SG	SF
Jared Sullinger	C	PF
Jeffery Taylor	SG	SF
Lance Thomas	PF	SF
P.J. Tucker	SF	SG
Ekpe Udoh	PF	C
Beno Udrih	PG	SG
Jan Vesely	C	PF
Luke Walton	PG	PF
C.J. Watson	SF	PG
Martell Webster	PF	SF
Chris Wilcox	PF	C
Damien Wilkins	SF	SG
Derrick Williams	SF	PF
Metta World	SG	SF
Sam Young	SF	SG
Thaddeus Young	SF	PF
